Year,Profession,HourlyRate,Source,Region,Experience
2015.0,3D Modeling,30.13,,,
2015.0,AI/ML Development,46.08,,,
2015.0,AI/ML Development,30.0,Market Research 2015,,
2015.0,Accounting,35.12,,,
2015.0,Audio Production,27.68,,,
2015.0,Blockchain Development,55.17,,,
2015.0,Blockchain Development,35.0,Market Research 2015,,
2015.0,Content Creation,18.3,,,
2015.0,Cybersecurity,51.09,,,
2015.0,Cybersecurity,32.0,Market Research 2015,,
2015.0,Data Analysis,33.9,,,
2015.0,DevOps Engineering,40.47,,,
2015.0,Graphic Design,22.78,,,
2015.0,Legal Services,59.74,,,
2015.0,Marketing,26.95,,,
2015.0,Mobile Development,34.97,,,
2015.0,Photography,24.9,,,
2015.0,Project Management,39.93,,,
2015.0,SEO/SEM,25.31,,,
2015.0,Social Media Management,20.14,,,
2015.0,Translation,21.94,,,
2015.0,UX/UI Design,33.14,,,
2015.0,Video Editing,22.56,,,
2015.0,Virtual Assistant,12.77,,,
2015.0,Voiceover,32.02,,,
2015.0,Web Development,33.84,,,
2015.0,Writing,20.64,,,
2015.08,3D Modeling,29.87,,,
2015.08,3D Modeling,29.43,,,
2015.08,AI/ML Development,44.06,,,
2015.08,AI/ML Development,46.0,,,
2015.08,Accounting,34.87,,,
2015.08,Accounting,35.76,,,
2015.08,Audio Production,27.24,,,
2015.08,Audio Production,28.67,,,
2015.08,Blockchain Development,54.34,,,
2015.08,Blockchain Development,59.24,,,
2015.08,Content Creation,18.3,,,
2015.08,Content Creation,18.04,,,
2015.08,Cybersecurity,50.82,,,
2015.08,Cybersecurity,49.75,,,
2015.08,Data Analysis,33.67,,,
2015.08,DevOps Engineering,39.3,,,
2015.08,DevOps Engineering,40.88,,,
2015.08,Graphic Design,22.91,,,
2015.08,Legal Services,60.53,,,
2015.08,Legal Services,60.13,,,
2015.08,Marketing,26.98,,,
2015.08,Mobile Development,35.13,,,
2015.08,Mobile Development,35.9,,,
2015.08,Photography,24.29,,,
2015.08,Photography,25.13,,,
2015.08,Project Management,38.2,,,
2015.08,Project Management,39.79,,,
2015.08,SEO/SEM,23.66,,,
2015.08,SEO/SEM,25.08,,,
2015.08,Social Media Management,20.16,,,
2015.08,Social Media Management,20.39,,,
2015.08,Translation,21.62,,,
2015.08,Translation,22.3,,,
2015.08,UX/UI Design,33.27,,,
2015.08,Video Editing,22.7,,,
2015.08,Virtual Assistant,13.41,,,
2015.08,Voiceover,31.96,,,
2015.08,Web Development,33.91,,,
2015.08,Writing,20.56,,,
2015.17,3D Modeling,30.69,,,
2015.17,3D Modeling,30.39,,,
2015.17,3D Modeling,31.06,,,
2015.17,AI/ML Development,45.05,,,
2015.17,AI/ML Development,44.49,,,
2015.17,AI/ML Development,45.45,,,
2015.17,Accounting,35.3,,,
2015.17,Accounting,35.48,,,
2015.17,Accounting,35.21,,,
2015.17,Audio Production,28.43,,,
2015.17,Audio Production,28.04,,,
2015.17,Audio Production,28.24,,,
2015.17,Blockchain Development,57.25,,,
2015.17,Blockchain Development,54.73,,,
2015.17,Blockchain Development,60.03,,,
2015.17,Content Creation,18.27,,,
2015.17,Content Creation,18.1,,,
2015.17,Content Creation,18.07,,,
2015.17,Cybersecurity,49.75,,,
2015.17,Cybersecurity,51.61,,,
2015.17,Cybersecurity,51.58,,,
2015.17,Data Analysis,33.44,,,
2015.17,DevOps Engineering,39.65,,,
2015.17,DevOps Engineering,40.93,,,
2015.17,DevOps Engineering,40.88,,,
2015.17,Graphic Design,23.05,,,
2015.17,Legal Services,60.02,,,
2015.17,Legal Services,60.41,,,
2015.17,Legal Services,60.08,,,
2015.17,Marketing,27.02,,,
2015.17,Mobile Development,34.71,,,
2015.17,Mobile Development,35.59,,,
2015.17,Mobile Development,35.97,,,
2015.17,Photography,24.92,,,
2015.17,Photography,25.42,,,
2015.17,Photography,25.29,,,
2015.17,Project Management,39.8,,,
2015.17,Project Management,41.25,,,
2015.17,Project Management,40.74,,,
2015.17,SEO/SEM,25.04,,,
2015.17,SEO/SEM,25.03,,,
2015.17,SEO/SEM,24.93,,,
2015.17,Social Media Management,20.04,,,
2015.17,Social Media Management,19.84,,,
2015.17,Social Media Management,19.9,,,
2015.17,Translation,21.85,,,
2015.17,Translation,22.2,,,
2015.17,Translation,22.3,,,
2015.17,UX/UI Design,33.4,,,
2015.17,Video Editing,22.84,,,
2015.17,Virtual Assistant,14.06,,,
2015.17,Voiceover,31.91,,,
2015.17,Web Development,33.97,,,
2015.17,Writing,20.48,,,
2015.25,3D Modeling,29.41,,,
2015.25,3D Modeling,29.83,,,
2015.25,3D Modeling,30.81,,,
2015.25,3D Modeling,30.91,,,
2015.25,AI/ML Development,46.07,,,
2015.25,AI/ML Development,46.35,,,
2015.25,AI/ML Development,46.41,,,
2015.25,AI/ML Development,46.21,,,
2015.25,Accounting,35.53,,,
2015.25,Accounting,34.77,,,
2015.25,Accounting,35.17,,,
2015.25,Accounting,35.83,,,
2015.25,Audio Production,28.45,,,
2015.25,Audio Production,28.11,,,
2015.25,Audio Production,28.44,,,
2015.25,Audio Production,27.78,,,
2015.25,Blockchain Development,57.56,,,
2015.25,Blockchain Development,56.45,,,
2015.25,Blockchain Development,57.33,,,
2015.25,Blockchain Development,58.34,,,
2015.25,Content Creation,17.67,,,
2015.25,Content Creation,18.08,,,
2015.25,Content Creation,18.02,,,
2015.25,Content Creation,18.38,,,
2015.25,Cybersecurity,50.78,,,
2015.25,Cybersecurity,50.18,,,
2015.25,Cybersecurity,51.21,,,
2015.25,Cybersecurity,50.85,,,
2015.25,Data Analysis,33.21,,,
2015.25,DevOps Engineering,40.15,,,
2015.25,DevOps Engineering,40.45,,,
2015.25,DevOps Engineering,40.04,,,
2015.25,DevOps Engineering,41.03,,,
2015.25,Graphic Design,23.18,,,
2015.25,Legal Services,60.31,,,
2015.25,Legal Services,59.59,,,
2015.25,Legal Services,60.74,,,
2015.25,Legal Services,60.08,,,
2015.25,Marketing,27.05,,,
2015.25,Mobile Development,35.39,,,
2015.25,Mobile Development,35.11,,,
2015.25,Mobile Development,35.56,,,
2015.25,Mobile Development,36.89,,,
2015.25,Photography,25.07,,,
2015.25,Photography,24.8,,,
2015.25,Photography,25.61,,,
2015.25,Photography,25.32,,,
2015.25,Project Management,40.76,,,
2015.25,Project Management,40.38,,,
2015.25,Project Management,40.22,,,
2015.25,Project Management,41.54,,,
2015.25,SEO/SEM,24.87,,,
2015.25,SEO/SEM,24.83,,,
2015.25,SEO/SEM,24.97,,,
2015.25,SEO/SEM,24.88,,,
2015.25,Social Media Management,20.17,,,
2015.25,Social Media Management,20.25,,,
2015.25,Social Media Management,19.92,,,
2015.25,Social Media Management,20.09,,,
2015.25,Translation,21.86,,,
2015.25,Translation,22.26,,,
2015.25,Translation,22.11,,,
2015.25,Translation,22.44,,,
2015.25,UX/UI Design,33.52,,,
2015.25,Video Editing,22.97,,,
2015.25,Virtual Assistant,14.7,,,
2015.25,Voiceover,31.85,,,
2015.25,Web Development,34.04,,,
2015.25,Writing,20.4,,,
2015.33,3D Modeling,29.86,,,
2015.33,3D Modeling,30.5,,,
2015.33,3D Modeling,29.8,,,
2015.33,3D Modeling,30.5,,,
2015.33,3D Modeling,30.39,,,
2015.33,AI/ML Development,45.15,,,
2015.33,AI/ML Development,44.82,,,
2015.33,AI/ML Development,46.21,,,
2015.33,AI/ML Development,44.51,,,
2015.33,AI/ML Development,44.98,,,
2015.33,Accounting,35.56,,,
2015.33,Accounting,35.05,,,
2015.33,Accounting,35.4,,,
2015.33,Accounting,35.53,,,
2015.33,Accounting,36.84,,,
2015.33,Audio Production,27.74,,,
2015.33,Audio Production,28.51,,,
2015.33,Audio Production,28.55,,,
