Year,Profession,HourlyRate
2015.0,Graphic Design,22.78
2015.0,Writing,20.64
2015.0,Video Editing,22.56
2015.0,Voiceover,32.02
2015.0,Web Development,33.84
2015.0,Marketing,26.95
2015.0,Virtual Assistant,12.77
2015.0,Data Analysis,33.9
2015.0,UX/UI Design,33.14
2015.08,Graphic Design,22.91
2015.08,Writing,20.56
2015.08,Video Editing,22.7
2015.08,Voiceover,31.96
2015.08,Web Development,33.91
2015.08,Marketing,26.98
2015.08,Virtual Assistant,13.41
2015.08,Data Analysis,33.67
2015.08,UX/UI Design,33.27
2015.17,Graphic Design,23.05
2015.17,Writing,20.48
2015.17,Video Editing,22.84
2015.17,Voiceover,31.91
2015.17,Web Development,33.97
2015.17,Marketing,27.02
2015.17,Virtual Assistant,14.06
2015.17,Data Analysis,33.44
2015.17,UX/UI Design,33.4
2015.25,Graphic Design,23.18
2015.25,Writing,20.4
2015.25,Video Editing,22.97
2015.25,Voiceover,31.85
2015.25,Web Development,34.04
2015.25,Marketing,27.05
2015.25,Virtual Assistant,14.7
2015.25,Data Analysis,33.21
2015.25,UX/UI Design,33.52
2015.33,Graphic Design,23.31
2015.33,Writing,20.33
2015.33,Video Editing,23.11
2015.33,Voiceover,31.79
2015.33,Web Development,34.11
2015.33,Marketing,27.09
2015.33,Virtual Assistant,15.34
2015.33,Data Analysis,32.98
2015.33,UX/UI Design,33.65
2015.42,Graphic Design,23.45
2015.42,Writing,20.25
2015.42,Video Editing,23.25
2015.42,Voiceover,31.74
2015.42,Web Development,34.17
2015.42,Marketing,27.12
2015.42,Virtual Assistant,15.99
2015.42,Data Analysis,32.75
2015.42,UX/UI Design,33.78
2015.5,Graphic Design,23.58
2015.5,Writing,20.17
2015.5,Video Editing,23.38
2015.5,Voiceover,31.68
2015.5,Web Development,34.24
2015.5,Marketing,27.16
2015.5,Virtual Assistant,16.63
2015.5,Data Analysis,32.52
2015.5,UX/UI Design,33.9
2015.58,Graphic Design,23.71
2015.58,Writing,20.09
2015.58,Video Editing,23.52
2015.58,Voiceover,31.62
2015.58,Web Development,34.31
2015.58,Marketing,27.19
2015.58,Virtual Assistant,17.27
2015.58,Data Analysis,32.29
2015.58,UX/UI Design,34.03
2015.67,Graphic Design,23.85
2015.67,Writing,20.01
2015.67,Video Editing,23.66
2015.67,Voiceover,31.57
2015.67,Web Development,34.37
2015.67,Marketing,27.22
2015.67,Virtual Assistant,17.92
2015.67,Data Analysis,32.06
2015.67,UX/UI Design,34.16
2015.75,Graphic Design,23.98
2015.75,Writing,19.93
2015.75,Video Editing,23.8
2015.75,Voiceover,31.51
2015.75,Web Development,34.44
2015.75,Marketing,27.26
2015.75,Virtual Assistant,18.56
2015.75,Data Analysis,31.83
2015.75,UX/UI Design,34.29
2015.83,Graphic Design,24.11
2015.83,Writing,19.86
2015.83,Video Editing,23.94
2015.83,Voiceover,31.45
2015.83,Web Development,34.51
2015.83,Marketing,27.29
2015.83,Virtual Assistant,19.2
2015.83,Data Analysis,31.6
2015.83,UX/UI Design,34.42
2015.92,Graphic Design,24.25
2015.92,Writing,19.78
2015.92,Video Editing,24.07
2015.92,Voiceover,31.4
2015.92,Web Development,34.57
2015.92,Marketing,27.33
2015.92,Virtual Assistant,19.85
2015.92,Data Analysis,31.37
2015.92,UX/UI Design,34.54
2016.0,Graphic Design,24.38
2016.0,Writing,19.7
2016.0,Video Editing,24.21
2016.0,Voiceover,31.34
2016.0,Web Development,34.64
2016.0,Marketing,27.36
2016.0,Virtual Assistant,20.49
2016.0,Data Analysis,31.14
2016.0,UX/UI Design,34.67
2016.08,Graphic Design,24.48
2016.08,Writing,19.98
2016.08,Video Editing,24.62
2016.08,Voiceover,31.54
2016.08,Web Development,34.95
2016.08,Marketing,27.8
2016.08,Virtual Assistant,20.21
2016.08,Data Analysis,31.08
2016.08,UX/UI Design,34.61
2016.17,Graphic Design,24.58
2016.17,Writing,20.27
2016.17,Video Editing,25.04
2016.17,Voiceover,31.74
2016.17,Web Development,35.26
2016.17,Marketing,28.24
2016.17,Virtual Assistant,19.93
2016.17,Data Analysis,31.01
2016.17,UX/UI Design,34.55
2016.25,Graphic Design,24.69
2016.25,Writing,20.55
2016.25,Video Editing,25.45
2016.25,Voiceover,31.94
2016.25,Web Development,35.58
2016.25,Marketing,28.67
2016.25,Virtual Assistant,19.66
2016.25,Data Analysis,30.95
2016.25,UX/UI Design,34.49
2016.33,Graphic Design,24.79
2016.33,Writing,20.83
2016.33,Video Editing,25.87
2016.33,Voiceover,32.15
2016.33,Web Development,35.89
2016.33,Marketing,29.11
2016.33,Virtual Assistant,19.38
2016.33,Data Analysis,30.89
2016.33,UX/UI Design,34.43
2016.42,Graphic Design,24.89
2016.42,Writing,21.12
2016.42,Video Editing,26.28
2016.42,Voiceover,32.35
2016.42,Web Development,36.2
2016.42,Marketing,29.55
2016.42,Virtual Assistant,19.1
2016.42,Data Analysis,30.82
2016.42,UX/UI Design,34.37
2016.5,Graphic Design,24.99
2016.5,Writing,21.4
2016.5,Video Editing,26.7
2016.5,Voiceover,32.55
2016.5,Web Development,36.51
2016.5,Marketing,29.98
2016.5,Virtual Assistant,18.82
2016.5,Data Analysis,30.76
2016.5,UX/UI Design,34.32
2016.58,Graphic Design,25.1
2016.58,Writing,21.68
2016.58,Video Editing,27.11
2016.58,Voiceover,32.75
2016.58,Web Development,36.82
2016.58,Marketing,30.42
2016.58,Virtual Assistant,18.55
2016.58,Data Analysis,30.7
2016.58,UX/UI Design,34.26
2016.67,Graphic Design,25.2
2016.67,Writing,21.97
2016.67,Video Editing,27.52
2016.67,Voiceover,32.95
2016.67,Web Development,37.13
2016.67,Marketing,30.86
2016.67,Virtual Assistant,18.27
2016.67,Data Analysis,30.63
2016.67,UX/UI Design,34.2
2016.75,Graphic Design,25.3
2016.75,Writing,22.25
2016.75,Video Editing,27.94
2016.75,Voiceover,33.16
2016.75,Web Development,37.44
2016.75,Marketing,31.3
2016.75,Virtual Assistant,17.99
2016.75,Data Analysis,30.57
2016.75,UX/UI Design,34.14
2016.83,Graphic Design,25.4
2016.83,Writing,22.53
2016.83,Video Editing,28.35
2016.83,Voiceover,33.36
2016.83,Web Development,37.76
2016.83,Marketing,31.74
2016.83,Virtual Assistant,17.72
2016.83,Data Analysis,30.51
2016.83,UX/UI Design,34.08
2016.92,Graphic Design,25.51
2016.92,Writing,22.82
2016.92,Video Editing,28.77
2016.92,Voiceover,33.56
2016.92,Web Development,38.07
2016.92,Marketing,32.17
2016.92,Virtual Assistant,17.44
2016.92,Data Analysis,30.44
2016.92,UX/UI Design,34.02
2017.0,Graphic Design,25.61
2017.0,Writing,23.1
2017.0,Video Editing,29.18
2017.0,Voiceover,33.76
2017.0,Web Development,38.38
2017.0,Marketing,32.61
2017.0,Virtual Assistant,17.16
2017.0,Data Analysis,30.38
2017.0,UX/UI Design,33.96
2017.08,Graphic Design,25.67
2017.08,Writing,23.1
2017.08,Video Editing,29.04
2017.08,Voiceover,33.73
2017.08,Web Development,38.15
2017.08,Marketing,32.32
2017.08,Virtual Assistant,17.55
2017.08,Data Analysis,30.91
2017.08,UX/UI Design,34.1
2017.17,Graphic Design,25.74
2017.17,Writing,23.1
2017.17,Video Editing,28.89
2017.17,Voiceover,33.7
2017.17,Web Development,37.92
2017.17,Marketing,32.02
2017.17,Virtual Assistant,17.95
2017.17,Data Analysis,31.45
2017.17,UX/UI Design,34.24
2017.25,Graphic Design,25.8
2017.25,Writing,23.1
2017.25,Video Editing,28.75
2017.25,Voiceover,33.67
2017.25,Web Development,37.68
2017.25,Marketing,31.72
2017.25,Virtual Assistant,18.34
2017.25,Data Analysis,31.98
2017.25,UX/UI Design,34.38
2017.33,Graphic Design,25.86
2017.33,Writing,23.1
2017.33,Video Editing,28.61
2017.33,Voiceover,33.64
2017.33,Web Development,37.45
2017.33,Marketing,31.43
2017.33,Virtual Assistant,18.74
2017.33,Data Analysis,32.52
2017.33,UX/UI Design,34.51
2017.42,Graphic Design,25.93
2017.42,Writing,23.1
2017.42,Video Editing,28.46
2017.42,Voiceover,33.61
2017.42,Web Development,37.22
2017.42,Marketing,31.14
2017.42,Virtual Assistant,19.13
2017.42,Data Analysis,33.05
2017.42,UX/UI Design,34.65
2017.5,Graphic Design,25.99
2017.5,Writing,23.1
2017.5,Video Editing,28.32
2017.5,Voiceover,33.58
2017.5,Web Development,36.99
2017.5,Marketing,30.84
2017.5,Virtual Assistant,19.52
2017.5,Data Analysis,33.58
2017.5,UX/UI Design,34.79
2017.58,Graphic Design,26.05
2017.58,Writing,23.09
2017.58,Video Editing,28.18
2017.58,Voiceover,33.55
2017.58,Web Development,36.76
2017.58,Marketing,30.54
2017.58,Virtual Assistant,19.92
2017.58,Data Analysis,34.12
2017.58,UX/UI Design,34.93
2017.67,Graphic Design,26.12
2017.67,Writing,23.09
2017.67,Video Editing,28.03
2017.67,Voiceover,33.52
2017.67,Web Development,36.53
2017.67,Marketing,30.25
2017.67,Virtual Assistant,20.31
2017.67,Data Analysis,34.65
2017.67,UX/UI Design,35.07
2017.75,Graphic Design,26.18
2017.75,Writing,23.09
2017.75,Video Editing,27.89
2017.75,Voiceover,33.49
2017.75,Web Development,36.3
2017.75,Marketing,29.96
